PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2014,2,3.56288,3.46492,6233,8846,X,7881,3565,1622,28147,2059,812343
National,X,2014,3,3.36378,3.31698,6007,8091,X,9517,3149,1606,28370,2049,855297
National,X,2014,4,3.39659,3.2407,5878,6818,X,8858,2616,1332,25502,2062,786928
National,X,2014,5,3.11922,2.88598,5133,6031,X,8714,2403,1203,23484,2051,813726
National,X,2014,6,2.83572,2.62172,4729,5278,X,7711,2242,1125,21085,2051,804244
National,X,2014,7,2.48484,2.34067,4210,4470,X,6717,1829,969,18195,2018,777340
National,X,2014,8,2.2741,2.12059,4250,4306,X,6121,1684,873,17234,2025,812700
National,X,2014,9,2.07244,1.91094,3953,3691,X,5875,1505,890,15914,1978,832786
National,X,2014,10,1.98207,1.9023,3775,3472,X,5575,1430,792,15044,1944,790831
National,X,2014,11,1.82441,1.76619,3616,3210,X,5022,1360,816,14024,1904,794024
National,X,2014,12,1.82036,1.85791,3798,3285,X,5611,1422,810,14926,1922,803374
National,X,2014,13,1.75391,1.82094,3523,3256,X,5812,1298,772,14661,1887,805133
National,X,2014,14,1.74542,1.83453,3582,3153,X,5659,1436,807,14637,1866,797863
National,X,2014,15,1.67236,1.75446,3574,2943,X,5587,1316,786,14206,1845,809707
National,X,2014,16,1.51659,1.51636,3130,2516,X,4279,1088,710,11723,1810,773101
National,X,2014,17,1.44778,1.40334,2846,2504,X,3770,1036,658,10814,1771,770592
National,X,2014,18,1.29028,1.2593,2501,2084,X,3591,913,559,9648,1746,766139
National,X,2014,19,1.37388,1.32482,2789,2009,X,3615,834,528,9775,1714,737834
National,X,2014,20,1.34208,1.27576,2544,1876,X,3256,825,532,9033,1660,708049
National,X,2014,21,1.34563,1.29483,2733,1742,X,3068,771,483,8797,1570,679395
National,X,2014,22,1.21291,1.2261,2528,1542,X,2459,625,504,7658,1554,624582
National,X,2014,23,1.19291,1.14538,2383,1492,X,2349,607,398,7229,1461,631143
National,X,2014,24,1.14146,1.0678,2227,1413,X,2181,561,401,6783,1461,635233
National,X,2014,25,1.06503,1.07269,2159,1285,X,2009,528,388,6369,1392,593740
National,X,2014,26,1.12669,1.01298,2049,1235,X,1917,509,328,6038,1411,596063
National,X,2014,27,0.947353,0.994705,1865,1075,X,1688,416,308,5352,1388,538049
National,X,2014,28,0.944187,0.880862,1758,1122,X,1623,441,351,5295,1394,601116
National,X,2014,29,0.934822,0.858173,1582,1116,X,1621,403,361,5083,1376,592305
National,X,2014,30,0.81736,0.805152,1455,1128,X,1450,398,334,4765,1372,591814
National,X,2014,31,0.852792,0.818781,1450,1094,X,1655,417,326,4942,1378,603580
National,X,2014,32,0.746994,0.783735,1460,1074,X,1528,409,273,4744,1382,605307
National,X,2014,33,0.761098,0.848703,1528,1107,X,1631,403,311,4980,1369,586778
National,X,2014,34,0.767627,0.834146,1569,1196,X,1813,412,315,5305,1371,635980
National,X,2014,35,0.862176,0.905981,1684,1223,X,2184,401,307,5799,1353,640080
National,X,2014,36,0.984907,1.04506,1753,1284,X,2258,453,302,6050,1352,578913
National,X,2014,37,1.16287,1.16816,2300,1550,X,3316,568,396,8130,1401,695966
National,X,2014,38,1.22731,1.27649,2535,1705,X,3650,605,393,8888,1405,696282
National,X,2014,39,1.2071,1.29758,2522,1820,X,3447,657,428,8874,1407,683887
National,X,2014,40,1.16191,1.20612,2958,1959,X,3994,712,527,10150,1937,841540
National,X,2014,41,1.30905,1.32485,3055,2116,X,4437,821,548,10977,1960,828544
National,X,2014,42,1.37072,1.41192,3442,2321,X,4728,870,580,11941,2000,845727
National,X,2014,43,1.43373,1.42547,3455,2459,X,4955,892,531,12292,2008,862314
National,X,2014,44,1.42791,1.43909,3632,2242,X,5102,807,530,12313,2053,855608
National,X,2014,45,1.61605,1.61532,4277,2349,X,5799,863,565,13853,2058,857601
National,X,2014,46,1.65976,1.66473,4424,2323,X,5816,911,588,14062,1997,844700
National,X,2014,47,2.05459,2.0058,4740,2921,X,7322,1049,642,16674,2058,831289
National,X,2014,48,2.53541,2.62227,5432,3277,X,6848,1165,880,17602,2067,671251
National,X,2014,49,2.54253,2.60749,6185,4623,X,9106,1767,1224,22905,2097,878430
National,X,2014,50,3.60563,3.4178,7424,5287,X,13050,1970,1441,29172,2069,853532
National,X,2014,51,4.90976,4.46555,9270,6920,X,16418,2671,2103,37382,2016,837119
National,X,2014,52,5.98221,6.11497,10363,8982,X,13951,3718,3519,40533,1984,662849
National,X,2014,53,5.47421,5.30979,9732,9348,X,9406,4288,4117,36891,1983,694773
National,X,2015,1,4.21374,4.07898,7160,8072,X,9589,3614,3048,31483,1958,771835
National,X,2015,2,4.21022,3.93762,7044,6946,X,11966,2909,2339,31204,1971,792459
National,X,2015,3,4.25968,4.15076,7840,6451,X,13949,2951,2030,33221,1966,800359
National,X,2015,4,3.97761,3.87899,7118,5844,X,13159,2585,1915,30621,1955,789407
National,X,2015,5,3.63443,3.45794,6656,5380,X,12093,2368,1654,28151,1950,814097
National,X,2015,6,3.26527,3.06359,6429,4884,X,10328,2072,1505,25218,1917,823153
National,X,2015,7,2.93083,2.82646,5537,4295,X,8164,1842,1271,21109,1907,746836
National,X,2015,8,2.54474,2.3599,4823,4061,X,7280,1765,1249,19178,1934,812660
National,X,2015,9,2.47227,2.33472,4639,3914,X,7116,1696,1076,18441,1912,789858
National,X,2015,10,2.35665,2.21286,4710,3654,X,6748,1654,1067,17833,1907,805881
National,X,2015,11,2.17008,2.07619,4559,3482,X,6084,1573,997,16695,1883,804117
National,X,2015,12,2.04297,2.01267,4418,3284,X,6003,1486,931,16122,1848,801027
National,X,2015,13,1.954,1.94192,4174,2968,X,5623,1321,889,14975,1819,771143
National,X,2015,14,1.72287,1.74809,3903,2931,X,4634,1387,878,13733,1820,785602
National,X,2015,15,1.53694,1.50367,3448,2448,X,4214,1160,774,12044,1813,800974
National,X,2015,16,1.38283,1.43494,3182,2052,X,4011,975,640,10860,1768,756827
National,X,2015,17,1.46265,1.45673,3203,2122,X,4280,888,602,11095,1753,761638
National,X,2015,18,1.38934,1.42836,3106,2074,X,4079,846,589,10694,1735,748690
National,X,2015,19,1.3468,1.35297,2805,1810,X,3641,813,602,9671,1688,714799
National,X,2015,20,1.25452,1.33093,2754,1768,X,3296,736,470,9024,1622,678023
National,X,2015,21,1.21636,1.28422,2593,1461,X,2714,652,493,7913,1579,616171
National,X,2015,22,1.16734,1.13889,2211,1334,X,2345,594,462,6946,1505,609891
National,X,2015,23,1.04654,1.10343,2109,1320,X,2284,575,456,6744,1455,611184
National,X,2015,24,0.943661,0.970748,1734,1167,X,2046,495,408,5850,1459,602628
National,X,2015,25,0.935046,0.998681,1897,1170,X,1921,496,429,5913,1445,592081
National,X,2015,26,0.934726,0.978057,1678,1043,X,1701,430,380,5232,1417,534938
National,X,2015,27,0.864118,0.866431,1546,1081,X,1675,443,371,5116,1428,590468
National,X,2015,28,0.806535,0.827757,1487,1028,X,1609,405,341,4870,1411,588337
National,X,2015,29,0.742747,0.797572,1383,1011,X,1498,413,321,4626,1401,580010
National,X,2015,30,0.737859,0.811221,1415,999,X,1459,432,300,4605,1352,567663
National,X,2015,31,0.743224,0.821165,1392,1026,X,1590,420,325,4753,1364,578812
National,X,2015,32,0.805251,0.819435,1330,1062,X,1667,400,291,4750,1340,579668
National,X,2015,33,0.816943,0.848041,1429,1134,X,1815,436,359,5173,1356,609994
National,X,2015,34,0.814518,0.888524,1687,1151,X,2033,423,354,5648,1362,635661
National,X,2015,35,0.86067,0.962826,1636,1230,X,2292,481,324,5963,1354,619323
National,X,2015,36,0.886704,1.02252,1714,1297,X,2169,461,329,5970,1349,583853
National,X,2015,37,1.00845,1.08392,1993,1392,X,2744,536,397,7062,1369,651524
National,X,2015,38,1.06625,1.17724,2178,1520,X,2947,627,432,7704,1367,654414
National,X,2015,39,1.05995,1.1716,2170,1654,X,2746,652,404,7626,1332,650904
National,X,2015,40,1.22559,1.24325,2849,2015,X,3693,871,621,10049,1963,808287
National,X,2015,41,1.31066,1.3234,3016,2102,X,4007,912,678,10715,1976,809660
National,X,2015,42,1.3711,1.40399,3263,2357,X,4360,951,653,11584,1995,825079
National,X,2015,43,1.39171,1.37629,3141,2254,X,4148,927,694,11164,1999,811165
National,X,2015,44,1.43712,1.46866,3563,2450,X,4783,935,692,12423,2048,845875
National,X,2015,45,1.50165,1.533,3746,2517,X,4725,943,745,12676,2028,826877
National,X,2015,46,1.59805,1.60841,3960,2656,X,5076,1026,766,13484,2023,838344
National,X,2015,47,1.89668,1.90047,3974,2427,X,4073,981,703,12158,2000,639738
National,X,2015,48,1.67728,1.73645,4469,3011,X,5076,1232,829,14617,2040,841777
National,X,2015,49,1.78296,1.81945,4575,2902,X,5384,1252,873,14986,2020,823657
National,X,2015,50,1.87336,1.96571,5135,2963,X,5105,1250,943,15396,2000,783227
National,X,2015,51,2.32148,2.42021,5377,2876,X,4317,1256,1013,14839,1978,613128
National,X,2015,52,2.40991,2.41083,5700,3264,X,4011,1524,1180,15679,1949,650356
National,X,2016,1,1.94328,1.98859,4775,3597,X,4494,1631,1157,15654,2004,787192
National,X,2016,2,1.99796,1.98985,4574,3180,X,5362,1380,1021,15517,2005,779809
National,X,2016,3,2.11829,2.1071,4804,3226,X,5380,1297,954,15661,2008,743249
National,X,2016,4,2.25112,2.19256,5088,3615,X,6882,1551,1007,18143,2026,827482
National,X,2016,5,2.37116,2.30014,5135,3759,X,7353,1625,1072,18944,2007,823602
National,X,2016,6,2.80035,2.67574,5645,4600,X,8434,1916,1179,21774,2000,813755
National,X,2016,7,3.16475,3.02427,5997,5642,X,9325,2347,1370,24681,1993,816098
National,X,2016,8,3.15183,3.11328,6299,6001,X,10127,2606,1390,26423,1956,848718
National,X,2016,9,3.3321,3.32788,6619,6395,X,11415,2599,1440,28468,1952,855439
National,X,2016,10,3.56024,3.5918,6660,7358,X,11856,2977,1630,30481,1922,848628
National,X,2016,11,3.05479,3.09262,5574,6026,X,9334,2489,1471,24894,1898,804948
National,X,2016,12,2.76732,2.78803,5187,4982,X,8489,2000,1282,21940,1900,786936
National,X,2016,13,2.44161,2.52371,4581,4476,X,7392,1953,1201,19603,1832,776752
National,X,2016,14,2.03348,2.12928,3707,3869,X,6403,1660,1130,16769,1813,787543
National,X,2016,15,1.98593,2.05142,3572,3530,X,6595,1533,1031,16261,1805,792672
National,X,2016,16,1.91514,1.98957,3515,3247,X,6357,1373,945,15437,1774,775895
National,X,2016,17,1.69968,1.7858,3157,2986,X,5557,1235,901,13836,1759,774777
National,X,2016,18,1.57635,1.60144,2772,2586,X,4729,1037,746,11870,1742,741210
National,X,2016,19,1.3935,1.4743,2871,2276,X,4046,849,665,10707,1690,726244
National,X,2016,20,1.29941,1.42286,2688,1998,X,3630,839,643,9798,1626,688612
National,X,2016,21,1.18379,1.38196,2612,1714,X,3126,717,618,8787,1439,635835
National,X,2016,22,1.13723,1.33712,2545,1637,X,2620,663,532,7997,1482,598077
National,X,2016,23,1.04118,1.13894,2293,1460,X,2313,617,518,7201,1446,632252
National,X,2016,24,0.971814,1.09641,2189,1354,X,2171,588,466,6768,1440,617287
National,X,2016,25,0.863306,0.999559,2062,1178,X,1905,493,386,6024,1402,602666
National,X,2016,26,0.833797,0.99095,1873,1146,X,1810,473,384,5686,1382,573793
National,X,2016,27,0.784516,0.931253,1646,985,X,1641,463,383,5118,1379,549582
National,X,2016,28,0.734327,0.843118,1610,1064,X,1599,422,383,5078,1392,602288
National,X,2016,29,0.698845,0.840286,1670,994,X,1621,384,375,5044,1388,600272
National,X,2016,30,0.723099,0.830065,1580,1036,X,1624,362,323,4925,1393,593327
National,X,2016,31,0.663501,0.790428,1455,971,X,1496,359,315,4596,1360,581457
National,X,2016,32,0.69276,0.830826,1512,1016,X,1639,382,319,4868,1329,585923
National,X,2016,33,0.710029,0.856796,1644,1028,X,1914,373,306,5265,1345,614499
National,X,2016,34,0.834232,1.00746,1848,1234,X,2364,465,349,6260,1356,621362
National,X,2016,35,0.992621,1.05868,1815,1242,X,2651,455,341,6504,1354,614349
National,X,2016,36,1.01605,1.10028,1883,1284,X,2604,471,381,6623,1347,601938
National,X,2016,37,1.07169,1.1457,2026,1509,X,3073,579,452,7639,1365,666755
National,X,2016,38,1.10163,1.2189,2341,1539,X,3298,613,438,8229,1363,675119
National,X,2016,39,1.18841,1.31113,2413,1645,X,3334,630,483,8505,1389,648678
National,X,2016,40,1.19763,1.25626,3119,2149,X,4174,833,645,10920,1956,869249
National,X,2016,41,1.22887,1.29218,3207,2155,X,4078,879,678,10997,1977,851042
National,X,2016,42,1.26723,1.33024,3564,2234,X,4452,981,695,11926,1986,896532
National,X,2016,43,1.36226,1.42562,3786,2406,X,4769,987,700,12648,2008,887194
National,X,2016,44,1.48468,1.56991,4314,2444,X,5287,1030,715,13790,2001,878396
National,X,2016,45,1.55838,1.65029,4703,2549,X,5193,1055,758,14258,1993,863967
National,X,2016,46,1.64639,1.73187,4979,2659,X,5610,1083,829,15160,2002,875353
National,X,2016,47,1.91196,2.03348,5032,2634,X,4567,1108,867,14208,2013,698702
National,X,2016,48,1.81129,1.88027,5209,3326,X,5655,1359,1056,16605,2005,883118
National,X,2016,49,1.91669,2.00307,5512,3188,X,5814,1415,1047,16976,2018,847500
National,X,2016,50,2.20671,2.27465,5744,3491,X,6724,1485,1019,18463,2005,811687
National,X,2016,51,2.73096,2.9137,6657,4099,X,7470,1923,1421,21570,1982,740295
National,X,2016,52,3.36152,3.54769,7712,5247,X,7144,2652,2145,24900,1931,701866
National,X,2017,1,3.09232,3.07969,6716,5673,X,6786,2773,2230,24178,2028,785080
National,X,2017,2,3.07623,3.02096,6022,5315,X,8847,2639,2081,24904,2001,824374
National,X,2017,3,3.50708,3.40075,6403,5588,X,12121,2717,1930,28759,2033,845666
National,X,2017,4,3.79872,3.53148,6958,5762,X,14064,2617,1820,31221,2024,884076
National,X,2017,5,4.43601,4.04671,7452,6522,X,17475,2968,2093,36510,2029,902215
National,X,2017,6,5.06094,4.75345,8110,8235,X,20150,3749,2646,42890,2030,902292
National,X,2017,7,4.85988,4.65322,7737,8348,X,18715,3660,2638,41098,1973,883216
National,X,2017,8,4.57809,4.56893,7649,8560,X,17300,3807,2808,40124,1990,878193
National,X,2017,9,3.55555,3.45379,6129,6496,X,12394,2983,2181,30183,1998,873909
National,X,2017,10,3.50492,3.29578,5851,5970,X,11546,2766,1918,28051,1973,851118
National,X,2017,11,3.21406,3.16311,5503,5535,X,10084,2582,1780,25484,1961,805664
National,X,2017,12,3.09854,3.1402,5518,5860,X,11512,2642,1839,27371,1943,871632
National,X,2017,13,2.79765,2.88096,5158,5078,X,10155,2356,1628,24375,1904,846072
National,X,2017,14,2.38646,2.36989,4490,3918,X,8183,1760,1333,19684,1910,830587
National,X,2017,15,1.96699,1.93539,3909,3152,X,5851,1470,1170,15552,1865,803557
National,X,2017,16,1.73523,1.6406,3308,2766,X,4683,1258,997,13012,1850,793124
National,X,2017,17,1.5635,1.47817,2997,2392,X,4497,1111,958,11955,1850,808770
National,X,2017,18,1.4041,1.36819,2890,2039,X,4106,1011,717,10763,1800,786659
National,X,2017,19,1.27729,1.33856,2746,2037,X,3822,862,721,10188,1770,761114
National,X,2017,20,1.28245,1.34625,2685,2011,X,3518,886,709,9809,1749,728618
National,X,2017,21,1.16589,1.26487,2341,1745,X,3060,771,647,8564,1617,677064
National,X,2017,22,1.10922,1.25688,2312,1577,X,2575,710,583,7757,1572,617165
National,X,2017,23,1.04387,1.15799,2456,1462,X,2377,672,591,7558,1498,652681
National,X,2017,24,0.905089,1.04831,2049,1346,X,2099,595,547,6636,1472,633019
National,X,2017,25,0.900337,0.988607,1930,1299,X,1972,560,503,6264,1502,633619
National,X,2017,26,0.859539,0.961605,1771,1121,X,1748,489,467,5596,1424,581944
National,X,2017,27,0.818831,0.955645,1728,1111,X,1564,505,418,5326,1461,557320
National,X,2017,28,0.752503,0.82743,1545,1004,X,1578,462,372,4961,1410,599567
National,X,2017,29,0.7372,0.814071,1549,918,X,1426,451,420,4764,1403,585207
National,X,2017,30,0.733096,0.818115,1576,953,X,1516,459,376,4880,1382,596493
National,X,2017,31,0.73102,0.829757,1529,1037,X,1485,415,433,4899,1393,590414
National,X,2017,32,0.688338,0.828501,1559,1044,X,1481,441,390,4915,1390,593240
National,X,2017,33,0.732049,0.885896,1603,1097,X,1691,427,412,5230,1351,590363
National,X,2017,34,0.911641,1.05599,1977,1261,X,2556,474,414,6682,1382,632771
National,X,2017,35,1.02105,1.11768,2076,1302,X,2726,526,503,7133,1371,638196
National,X,2017,36,1.09335,1.13843,2074,1369,X,2488,587,555,7073,1386,621296
National,X,2017,37,1.09515,1.13416,2375,1658,X,2947,709,628,8317,1486,733316
National,X,2017,38,1.09699,1.17508,2544,1625,X,3075,664,658,8566,1487,728970
National,X,2017,39,1.18823,1.23773,2840,1652,X,3201,746,640,9079,1470,733519
National,X,2017,40,1.27015,1.27873,3841,2492,X,4557,1073,873,12836,2221,1003812
National,X,2017,41,1.30848,1.33068,4117,2687,X,4461,1077,950,13292,2248,998891
National,X,2017,42,1.34548,1.40896,4411,2821,X,5007,1143,976,14358,2269,1019046
National,X,2017,43,1.52336,1.57239,5009,2925,X,5537,1326,1054,15851,2266,1008085
National,X,2017,44,1.75025,1.70146,5217,3302,X,6133,1367,1062,17081,2224,1003902
National,X,2017,45,1.89033,1.85696,6101,3589,X,6648,1519,1116,18973,2284,1021724
National,X,2017,46,2.0607,2.06222,6856,4221,X,7553,1791,1367,21788,2296,1056531
National,X,2017,47,2.2853,2.32245,6915,3815,X,5864,1694,1426,19714,2272,848846
National,X,2017,48,2.28881,2.24518,7011,5249,X,7454,2210,1834,23758,2276,1058177
National,X,2017,49,2.58658,2.48095,7200,5019,X,8437,2320,1845,24821,2270,1000463
National,X,2017,50,3.37225,3.19549,8276,6661,X,11241,2954,2325,31457,2262,984420
National,X,2017,51,4.74571,4.41802,10400,9808,X,14067,4567,3713,42555,2205,963214
National,X,2017,52,5.71741,5.43578,11317,11466,X,11482,5723,5045,45033,2128,828455
National,X,2018,1,5.76904,5.35605,9400,13391,X,11698,6868,5889,47246,2238,882105
National,X,2018,2,5.9265,5.5315,10055,15409,X,17348,7785,6203,56800,2252,1026846
National,X,2018,3,6.53612,6.34501,12004,16055,X,21898,7591,5583,63131,2286,994971
National,X,2018,4,7.17449,7.01699,13429,18369,X,30611,8918,6090,77417,2286,1103279
National,X,2018,5,7.51043,7.77872,14816,18989,X,37061,8819,5940,85625,2255,1100759
National,X,2018,6,7.38017,7.77235,15168,19461,X,38446,8562,5864,87501,2278,1125798
National,X,2018,7,6.43799,6.80535,13333,17138,X,31994,8030,5438,75933,2207,1115784
National,X,2018,8,4.94132,5.15624,10113,12376,X,20353,5738,4167,52747,2251,1022974
National,X,2018,9,3.73269,3.58687,7152,8407,X,13442,4034,2866,35901,2173,1000900
National,X,2018,10,3.19783,3.01904,6336,6428,X,10792,3075,2283,28914,2178,957722
National,X,2018,11,2.79017,2.74567,5562,5870,X,9429,2784,2115,25760,2160,938206
National,X,2018,12,2.48511,2.48175,5169,5340,X,8484,2489,1953,23435,2128,944295
National,X,2018,13,2.42388,2.37706,4653,4634,X,7111,2236,1713,20347,2072,855974
National,X,2018,14,2.09955,2.05543,4430,4340,X,5990,2061,1646,18467,1998,898451
National,X,2018,15,1.82597,1.84269,3994,3585,X,5241,1727,1387,15934,1912,864714
National,X,2018,16,1.67236,1.61942,3469,2939,X,4704,1283,983,13378,1801,826098
